DataId,Name,DescriptionTextID,NpcType,PrefabLabel,IconSpriteName,SkeletonDataID,QuestDataId
500001,chapter1_camp,,Guild,NpcPrefab,npc_camp_base.sprite,camp_SkeletonData,
500002,chapter1_portal,,Portal,NpcPrefab,portal_a_effect_1.sprite,npc_portal_2_SkeletonData,
500003,chapter1_waypoint,,Waypoint,NpcPrefab,potal_body.sprite,npc_portal_1_SkeletonData,
500004,chapter1_blacksmith,,BlackSmith,NpcPrefab,smith_body.sprite,npc_smith_SkeletonData,
500005,chapter1_guild,,Training,NpcPrefab,npc_training_head.sprite,npc_training_SkeletonData,
500006,teasure_box,,TreasureBox,NpcPrefab,treasure_temp.sprite,npc_training_SkeletonData,
500007,dungeon,,Quest,NpcPrefab,dungeon_temp.sprite,npc_training_SkeletonData,8
500008,Chloe,,Quest,NpcPrefab,npc_chloe.sprite,002_SkeletonData,1
500009,저금통,,GoldStorage,NpcPrefab,coin_storage_temp.sprite,npc_storages_coin_SkeletonData,
500010,벌목소,,WoodStorage,NpcPrefab,wood_storage_temp.sprite,storages_wood_SkeletonData,
500011,광산,,MineralStorage,NpcPrefab,mine_temp.sprite,npc_storages_mine_SkeletonData,
500012,교환소,,Exchange,NpcPrefab,npc_camp_base.sprite,npc_camp_SkeletonData,
500013,룬스톤,,RuneStone,NpcPrefab,npc_rune_stone.sprite,npc_run_stone_SkeletonData,
